Speaker,Phoneme,File,TimeStamp,Ortho,Sylls,Cat,Lemma,FolLiquid,logForwardBigram,SpeechRate,MinPairExist,Closure,VOT,StopLength,VOTLengthRatio
s07,b,s0703b,431.330061,better,2,J,better,FALSE,-4.10208206,4.311453012,FALSE,0.091584768,0.013792887,0.105377655,0.130890052
s07,b,s0701b,184.912252,busy,2,J,busy,FALSE,-5.482720128,2.529695818,FALSE,0.052763529,0.016582805,0.069346334,0.239130237
s07,b,s0703a,506.595615,baby,2,N,baby,FALSE,-7.15541952,5.063277335,FALSE,0.07344153,0.007685741,0.081127271,0.094736842
s07,b,s0702a,181.194893,bathroom,2,N,bathroom,FALSE,-10.60870731,5.788066591,FALSE,0.065373367,0.008033168,0.073406534,0.109433962
s07,b,s0703b,123.616406,babies,2,N,baby,FALSE,-8.928769435,4.649014514,FALSE,0.087647181,0.005807946,0.093455126,0.062146893
s07,b,s0703b,577.580362,bedroom,2,N,bedroom,FALSE,-7.939159488,5.220494851,FALSE,0.040155472,0.014108679,0.054264152,0.26
s07,b,s0702b,100.090256,baby,2,N,baby,FALSE,-7.15541952,6.323083483,FALSE,0.042421009,0.005777654,0.048198663,0.119871669
s07,b,s0701b,426.674437,bucks,1,V,buck,FALSE,-3.240252844,5.503557132,TRUE,0.013975796,0.006028775,0.02000457,0.301369863
s07,b,s0703b,309.480592,back,1,R,back,FALSE,-3.020925535,5.772191793,TRUE,0.116694661,0.010985197,0.127679858,0.086037039
s07,b,s0702a,430.208867,bath,1,N,bath,FALSE,-7.83636913,5.760478769,TRUE,0.059480113,0.010309886,0.06979,0.147727273
s07,b,s0701b,523.503536,bumps,1,N,bump,FALSE,-1.09861229,1.088269444,TRUE,0.082484599,0.022744923,0.105229521,0.216145833
s07,b,s0703b,154.651062,back,1,R,back,FALSE,-3.020925535,2.905226238,TRUE,0.054911487,0.009503911,0.064415398,0.147540984
s07,b,s0702a,334.269437,built,1,V,build,FALSE,-8.478131145,4.257769128,FALSE,0.085261966,0.009473552,0.094735518,0.1
s07,b,s0704a,190.330312,bad,1,J,bad,FALSE,-6.874252807,4.766629487,TRUE,0.042805656,0.009559781,0.052365437,0.182558986
s07,b,s0704a,82.93823,brain,1,N,brain,TRUE,-7.320130205,5.711154658,FALSE,0.074289924,0.020965255,0.095255178,0.220095694
s07,b,s0702b,255.871479,back,1,R,back,FALSE,-3.020925535,6.309644823,TRUE,0.039423993,0.013254618,0.052678612,0.251612903
s07,b,s0701b,394.732313,building,2,N,building,FALSE,-7.564757626,5.111247727,FALSE,0.082218164,0.014899543,0.097117707,0.153417365
