Speaker,Phoneme,File,TimeStamp,Ortho,Sylls,Lemma,FolLiquid,SpeechRate,MinPairExist,Closure,VOT,StopLength,VOTStopLengthRatio
s02,t,s0202b,418.773,trace,1,trace,TRUE,5.822155765,FALSE,0.047758506,0.093870167,0.141628673,0.662790698
s02,t,s0206a,64.345,turn,1,turn,TRUE,5.128846599,FALSE,0.064911774,0.063894219,0.128805994,0.496050048
s02,t,s0202b,51.897,times,1,time,FALSE,5.125757769,TRUE,0.010599705,0.005707534,0.016307239,0.35
s02,t,s0205a,297.736,tongue,1,tongue,FALSE,2.65831177,FALSE,0.069268099,0.051463073,0.120731172,0.426261687
s02,t,s0205b,336.259,tape,1,tape,FALSE,4.858056424,FALSE,0.042021741,0.017463911,0.059485652,0.293581899
s02,t,s0205a,303.543,teeth,1,tooth,TRUE,6.81021696,FALSE,0.095726328,0.035534027,0.131260355,0.270714083
s02,t,s0205a,242.666,teeny,2,teeny,TRUE,6.310036948,FALSE,0.035068605,0.037437483,0.072506088,0.516335718
s02,t,s0202b,393.236,try,1,try,TRUE,4.785894207,TRUE,0.053261928,0.056126856,0.109388784,0.513095163
s02,t,s0205a,306.952,teeth,1,tooth,TRUE,3.508268599,FALSE,0.109920012,0.043222784,0.153142797,0.282238443
s02,t,s0204a,124.432,trying,2,try,TRUE,5.596067531,TRUE,0.051289795,0.045209821,0.096499616,0.46849742
s02,t,s0204a,181.232,trying,2,try,TRUE,1.138265819,TRUE,0.047179811,0.04794981,0.095129621,0.504047105
s02,t,s0205a,174.741,told,1,tell,FALSE,4.41593495,FALSE,0.034197614,0.053308046,0.08750566,0.609195402
s02,t,s0205a,210.352,told,1,tell,FALSE,4.876526353,FALSE,0.061354543,0.020201242,0.081555785,0.247698454
s02,t,s0204b,74.873,tried,1,try,TRUE,6.494960806,TRUE,0.056145077,0.040139204,0.096284281,0.416882214
s02,t,s0204b,9.154,tell,1,tell,FALSE,3.886397608,FALSE,0.084371015,0.017587345,0.10195836,0.172495366
s02,t,s0202b,384.499,trying,2,try,TRUE,2.906262851,TRUE,0.07119134,0.074835808,0.146027148,0.512478733
s02,t,s0202b,97.317,talking,2,talk,FALSE,5.431502716,FALSE,0.042752711,0.033591416,0.076344128,0.44
s02,t,s0205b,263.105,times,1,time,FALSE,3.652795783,TRUE,0.05287311,0.037025916,0.089899026,0.411861147
s02,t,s0203a,152.031,tell,1,tell,FALSE,3.936355689,FALSE,0.032482372,0.056302779,0.088785151,0.634146341
s02,t,s0205a,301.247,tongue,1,tongue,FALSE,5.165979222,FALSE,0.061802194,0.01960498,0.081407174,0.240826198
s02,t,s0204a,106.218,trying,2,try,TRUE,3.825310807,TRUE,0.054307259,0.044558879,0.098866138,0.450699096
s02,t,s0205a,229.481,telling,2,tell,FALSE,5.069976949,FALSE,0.017626916,0.03061517,0.048242087,0.634615385
s02,t,s0205b,307.354,told,1,tell,FALSE,4.467448257,FALSE,0.039730397,0.057849204,0.097579601,0.592841163
s02,t,s0206a,422.109151,tape,1,tape,FALSE,6.508518349,FALSE,0.070312331,0.023767896,0.094080227,0.252634342
s02,t,s0205b,305.008419,told,1,tell,FALSE,4.591640184,FALSE,0.086533034,0.030293931,0.116826965,0.259305985
s05,k,s0501a,547.63589,craftsmen,2,craftsman,TRUE,6.533998025,FALSE,0.035209221,0.02015035,0.05535957,0.363990355
s05,k,s0503b,67.336489,kids,1,kid,FALSE,0.902744125,FALSE,0.043730838,0.052409343,0.096140181,0.545134643
s05,k,s0503b,6.075382,kids,1,kid,FALSE,4.285786814,FALSE,0.046912125,0.041230836,0.088142962,0.467772305
s05,k,s0502b,3.4505,kids,1,kid,FALSE,4.845977863,FALSE,0.073653941,0.033102748,0.106756689,0.31007657
s05,k,s0502a,351.654,quit,1,quit,TRUE,5.516753166,FALSE,0.060199386,0.045836826,0.106036212,0.432275214
s05,k,s0502b,8.032611,kids,1,kid,FALSE,4.917248607,FALSE,0.059250389,0.041524905,0.100775294,0.412054414
s05,k,s0502b,311.773563,car,1,car,TRUE,5.555555556,FALSE,0.020908497,0.033976308,0.054884805,0.619047619
s05,k,s0503a,461.083586,key,1,key,TRUE,3.057760328,FALSE,0.03160284,0.031810938,0.063413778,0.501640795
s05,k,s0503a,502.781722,kids,1,kid,FALSE,7.629784543,FALSE,0.04805064,0.076028339,0.124078979,0.612741498
s05,k,s0503a,568.40997,care,1,care,FALSE,4.610267725,FALSE,0.029982921,0.051217863,0.081200784,0.63075577
s05,k,s0504a,160.257888,care,1,care,FALSE,4.917279073,FALSE,0.052802714,0.059363998,0.112166711,0.529247911
s05,k,s0502b,561.669562,covered,2,cover,FALSE,4.166666667,FALSE,0.046417756,0.051406901,0.097824658,0.525500448
s05,k,s0502a,575.417875,crowded,2,crowd,TRUE,3.677472204,FALSE,0.062814406,0.062071889,0.124886296,0.497027228
s05,k,s0502a,25.853018,culture,2,culture,FALSE,5.04587156,FALSE,0.048210041,0.032578799,0.08078884,0.403258656
s05,k,s0503a,311.847629,kids,1,kid,FALSE,4.98566621,FALSE,0.046758798,0.037537862,0.08429666,0.445306636
s05,k,s0503a,156.865661,court,1,court,TRUE,3.841876065,FALSE,0.069787541,0.068480142,0.138267684,0.495272218
s05,k,s0503a,337.030025,kids,1,kid,FALSE,4.386807641,FALSE,0.042541419,0.063591583,0.106133002,0.599168798
s05,k,s0503a,409.350084,kid,1,kid,FALSE,5.566047113,FALSE,0.026516209,0.036748606,0.063264815,0.580869565
s05,k,s0503a,466.880801,care,1,care,FALSE,5.199582251,FALSE,0.02853692,0.046734376,0.075271297,0.620879121
s05,k,s0502b,528.909259,calm,1,calm,FALSE,4.489232403,FALSE,0.044953324,0.072848467,0.117801791,0.618398637
s05,k,s0501b,136.967124,cow,1,cow,FALSE,4.342143543,FALSE,0.030893855,0.035013036,0.065906891,0.53125
s05,k,s0502b,58.36579,kids,1,kid,FALSE,3.559753925,FALSE,0.095153798,0.067913691,0.163067488,0.416475973
s05,k,s0502b,532.100813,kids,1,kid,FALSE,2.212683916,FALSE,0.033854839,0.048525269,0.082380108,0.589041096
s05,k,s0502b,209.668624,code,1,code,FALSE,0.446955407,FALSE,0.04742454,0.079455756,0.126880296,0.626226123
s05,k,s0501b,376.261501,case,1,case,FALSE,5.255101748,FALSE,0.017314053,0.024257913,0.041571966,0.583516133
s05,k,s0503a,252.068439,couples,2,couple,FALSE,5.30549364,FALSE,0.055163853,0.027076982,0.082240835,0.329240112
s05,k,s0501b,28.322953,couple,2,couple,FALSE,4.98106531,FALSE,0.04059133,0.010482519,0.051073849,0.205242385
s05,k,s0501b,30.13191,couple,2,couple,FALSE,4.98106531,FALSE,0.051977067,0.044992717,0.096969783,0.463986976
s05,k,s0502b,203.58625,classes,2,class,TRUE,4.199272266,TRUE,0.042931499,0.046637815,0.089569314,0.520689655
s05,k,s0502b,433.167938,called,1,call,FALSE,5.029098629,FALSE,0.034657004,0.027132089,0.061789093,0.439108062
s05,k,s0503b,381.228101,closed,1,close,TRUE,3.941067251,FALSE,0.068506892,0.054246415,0.122753307,0.441914081
s05,k,s0501b,230.655387,court,1,court,TRUE,3.663214523,FALSE,0.022530579,0.010759544,0.033290123,0.323205291
s05,k,s0503b,61.433791,cared,1,care,FALSE,3.602980385,FALSE,0.051484757,0.056089045,0.107573803,0.521400603
s05,k,s0503a,472.607884,kids,1,kid,FALSE,6.164555702,FALSE,0.045870113,0.040918225,0.086788338,0.471471471
s05,k,s0501a,561.780687,closed,1,closed,TRUE,4.13630178,FALSE,0.043973349,0.040308903,0.084282252,0.47826087
s05,k,s0503b,517.219998,case,1,case,FALSE,4.651642379,FALSE,0.046070573,0.054772631,0.100843204,0.54314648
s05,k,s0502b,374.436138,kids,1,kid,FALSE,2.475091913,FALSE,0.042857941,0.054473377,0.097331317,0.559669571
s05,k,s0502b,200.766249,classes,2,class,TRUE,3.235532183,TRUE,0.033245518,0.055956259,0.089201777,0.627299821
s05,k,s0502b,103.668375,class,1,class,TRUE,5.25795366,TRUE,0.089360708,0.037531407,0.126892114,0.295774145
s05,k,s0502a,186.988631,cases,2,case,FALSE,5.034576528,FALSE,0.022160377,0.033016262,0.055176638,0.598373925
s05,k,s0503b,460.896353,class,1,class,TRUE,3.955177495,TRUE,0.042621461,0.04008231,0.082703771,0.484649123
s05,k,s0501b,308.140319,closed,1,close,TRUE,4.565633261,FALSE,0.064689899,0.079146319,0.143836219,0.550253059
s05,k,s0503a,457.453263,kids,1,kid,FALSE,5.397826565,FALSE,0.034903562,0.055140202,0.090043765,0.612371134
s05,k,s0501b,513.845624,calls,1,call,FALSE,4.287776502,FALSE,0.030584294,0.063404544,0.093988838,0.674596528
s05,k,s0503a,17.751116,crack,1,crack,TRUE,5.826097967,FALSE,0.045207917,0.075736845,0.120944761,0.626210211
s05,p,s0503b,519.088139,parents,2,parent,FALSE,3.383149076,FALSE,0.050202992,0.026372458,0.07657545,0.34439834
s05,p,s0501b,511.703595,pretty,2,pretty,TRUE,4.707566,FALSE,0.05814494,0.046918404,0.105063344,0.446572538
s05,p,s0501b,154.844274,piece,1,piece,TRUE,3.068642463,FALSE,0.038480485,0.031894692,0.070375177,0.453209409
s05,p,s0504a,141.0605,pregnant,2,pregnant,TRUE,4.682758707,FALSE,0.037029274,0.044313721,0.081342995,0.544776119
s05,p,s0503a,263.273527,parents,2,parent,FALSE,4.977659199,FALSE,0.044864226,0.02536439,0.070228616,0.361168865
s05,p,s0503b,454.637942,pregnant,2,pregnant,TRUE,4.386395856,FALSE,0.040323744,0.016994353,0.057318097,0.296491926
s05,p,s0502a,490.063078,pretty,2,pretty,TRUE,5.93220339,FALSE,0.033126023,0.045937192,0.079063216,0.581018519
s05,p,s0501a,401.445026,public,2,public,FALSE,3.821566475,FALSE,0.068431456,0.027334456,0.095765912,0.285429912
s05,p,s0502b,99.207624,parent,2,parent,FALSE,6.76528574,FALSE,0.052996591,0.025089258,0.07808585,0.321303521
s05,p,s0502a,576.20995,peaceful,2,peaceful,TRUE,3.677472204,FALSE,0.046027579,0.045997565,0.092025145,0.499836925
s05,p,s0502b,97.738875,parents,2,parent,FALSE,3.522546942,FALSE,0.074053951,0.023993319,0.09804727,0.244711749
s05,p,s0502a,276.05003,pretty,2,pretty,TRUE,5.092222267,FALSE,0.055718951,0.00982646,0.065545411,0.149918356
s05,p,s0502a,370.006375,part,1,part,TRUE,4.770852294,FALSE,0.06354894,0.025973432,0.089522372,0.290133423
s05,p,s0501b,142.73725,pieces,2,piece,TRUE,6.66667037,FALSE,0.027899964,0.021910375,0.049810339,0.439876051
s05,p,s0503b,460.082604,passing,2,pass,FALSE,3.955177495,FALSE,0.050388755,0.035077604,0.085466359,0.410425862
s05,p,s0501b,155.425624,piece,1,piece,TRUE,5.268483817,FALSE,0.038480485,0.031894692,0.070375177,0.453209409
s05,p,s0501a,506.428563,problem,2,problem,TRUE,6.941353373,FALSE,0.053908336,0.00328561,0.057193946,0.057446809
s05,p,s0501b,461.328509,put,1,put,FALSE,6.790127648,FALSE,0.039178199,0.031889231,0.07106743,0.448717949
s05,p,s0501a,185.557375,parents,2,parent,FALSE,5.180656907,FALSE,0.055279707,0.040902305,0.096182011,0.425259404
s05,p,s0501a,183.639132,paper,2,paper,FALSE,4.851985763,FALSE,0.079367897,0.048358614,0.127726511,0.378610621
s05,p,s0501a,172.0364,pen,1,pen,FALSE,4.690609972,FALSE,0.071700463,0.039387329,0.111087792,0.354560373
