"Word","Pair","Subject","Repetition","VOT","consonant","minpair","Klatt","VHeight","Length","Freq_KF","SMean","BMean","NNbors","VC","CC","CV","CMU","BaseDur","Freq_S","Structure","B1","NumCCoda","VcFinalC","mpCode","NNbors.c","VC.c","CC.c","CV.c"
"cab","k9","8",3,0.108878,"k","yes","k@b","lo",3,2.08,0.066,0.0074,22,6,3,10,"KAEB",0.297510439,35.8,"CVG",0.0122,1,"vcd",0.5,2.07829902126224,-1.04522443469457,-1.32467094161323,4.28315896051299
"cab","k9","2",2,0.066585,"k","yes","k@b","lo",3,2.08,0.066,0.0074,22,6,3,10,"KAEB",0.297510439,35.8,"CVG",0.0122,1,"vcd",0.5,2.07829902126224,-1.04522443469457,-1.32467094161323,4.28315896051299
"cab","k9","6",1,0.117396,"k","yes","k@b","lo",3,2.08,0.066,0.0074,22,6,3,10,"KAEB",0.297510439,35.8,"CVG",0.0122,1,"vcd",0.5,2.07829902126224,-1.04522443469457,-1.32467094161323,4.28315896051299
"cab","k9","10",3,0.129038,"k","yes","k@b","lo",3,2.08,0.066,0.0074,22,6,3,10,"KAEB",0.297510439,35.8,"CVG",0.0122,1,"vcd",0.5,2.07829902126224,-1.04522443469457,-1.32467094161323,4.28315896051299
"cab","k9","8",2,0.098019,"k","yes","k@b","lo",3,2.08,0.066,0.0074,22,6,3,10,"KAEB",0.297510439,35.8,"CVG",0.0122,1,"vcd",0.5,2.07829902126224,-1.04522443469457,-1.32467094161323,4.28315896051299
"cab","k9","1",2,0.122751,"k","yes","k@b","lo",3,2.08,0.066,0.0074,22,6,3,10,"KAEB",0.297510439,35.8,"CVG",0.0122,1,"vcd",0.5,2.07829902126224,-1.04522443469457,-1.32467094161323,4.28315896051299
"cab","k9","1",3,0.100408,"k","yes","k@b","lo",3,2.08,0.066,0.0074,22,6,3,10,"KAEB",0.297510439,35.8,"CVG",0.0122,1,"vcd",0.5,2.07829902126224,-1.04522443469457,-1.32467094161323,4.28315896051299
"cab","k9","12",3,0.067583,"k","yes","k@b","lo",3,2.08,0.066,0.0074,22,6,3,10,"KAEB",0.297510439,35.8,"CVG",0.0122,1,"vcd",0.5,2.07829902126224,-1.04522443469457,-1.32467094161323,4.28315896051299
"cab","k9","5",2,0.105075,"k","yes","k@b","lo",3,2.08,0.066,0.0074,22,6,3,10,"KAEB",0.297510439,35.8,"CVG",0.0122,1,"vcd",0.5,2.07829902126224,-1.04522443469457,-1.32467094161323,4.28315896051299
"cad","k9","2",3,0.04836,"k","no","k@d","lo",3,1,0.07,0.0073,30,10,6,10,"KAED",0.284742983,0,"CVG",0.0122,1,"vcd",-0.5,10.0782990212622,2.95477556530543,1.67532905838677,4.28315896051299
"cad","k9","3",3,0.093864,"k","no","k@d","lo",3,1,0.07,0.0073,30,10,6,10,"KAED",0.284742983,0,"CVG",0.0122,1,"vcd",-0.5,10.0782990212622,2.95477556530543,1.67532905838677,4.28315896051299
"cad","k9","3",2,0.091683,"k","no","k@d","lo",3,1,0.07,0.0073,30,10,6,10,"KAED",0.284742983,0,"CVG",0.0122,1,"vcd",-0.5,10.0782990212622,2.95477556530543,1.67532905838677,4.28315896051299
"cad","k9","12",1,0.075572,"k","no","k@d","lo",3,1,0.07,0.0073,30,10,6,10,"KAED",0.284742983,0,"CVG",0.0122,1,"vcd",-0.5,10.0782990212622,2.95477556530543,1.67532905838677,4.28315896051299
"cad","k9","1",2,0.105576,"k","no","k@d","lo",3,1,0.07,0.0073,30,10,6,10,"KAED",0.284742983,0,"CVG",0.0122,1,"vcd",-0.5,10.0782990212622,2.95477556530543,1.67532905838677,4.28315896051299
"cad","k9","6",1,0.072288,"k","no","k@d","lo",3,1,0.07,0.0073,30,10,6,10,"KAED",0.284742983,0,"CVG",0.0122,1,"vcd",-0.5,10.0782990212622,2.95477556530543,1.67532905838677,4.28315896051299
"cad","k9","9",3,0.076214,"k","no","k@d","lo",3,1,0.07,0.0073,30,10,6,10,"KAED",0.284742983,0,"CVG",0.0122,1,"vcd",-0.5,10.0782990212622,2.95477556530543,1.67532905838677,4.28315896051299
"cad","k9","12",2,0.072967,"k","no","k@d","lo",3,1,0.07,0.0073,30,10,6,10,"KAED",0.284742983,0,"CVG",0.0122,1,"vcd",-0.5,10.0782990212622,2.95477556530543,1.67532905838677,4.28315896051299
